Team,game_date,previous_game,Day Difference,Schedule Type,League
Brooklyn Nets,2020-12-25,2020-12-22,3.0,Planned,NBA
Brooklyn Nets,2020-12-27,2020-12-25,2.0,Planned,NBA
Brooklyn Nets,2020-12-28,2020-12-27,1.0,Planned,NBA
Brooklyn Nets,2020-12-30,2020-12-28,2.0,Planned,NBA
Brooklyn Nets,2021-01-01,2020-12-30,2.0,Planned,NBA
Brooklyn Nets,2021-01-03,2021-01-01,2.0,Planned,NBA
Brooklyn Nets,2021-01-05,2021-01-03,2.0,Planned,NBA
Brooklyn Nets,2021-01-07,2021-01-05,2.0,Planned,NBA
Brooklyn Nets,2021-01-08,2021-01-07,1.0,Planned,NBA
Brooklyn Nets,2021-01-10,2021-01-08,2.0,Planned,NBA
Brooklyn Nets,2021-01-12,2021-01-10,2.0,Planned,NBA
Brooklyn Nets,2021-01-13,2021-01-12,1.0,Planned,NBA
Brooklyn Nets,2021-01-16,2021-01-13,3.0,Planned,NBA
Brooklyn Nets,2021-01-18,2021-01-16,2.0,Planned,NBA
Brooklyn Nets,2021-01-20,2021-01-18,2.0,Planned,NBA
Brooklyn Nets,2021-01-22,2021-01-20,2.0,Planned,NBA
Brooklyn Nets,2021-01-23,2021-01-22,1.0,Planned,NBA
Brooklyn Nets,2021-01-25,2021-01-23,2.0,Planned,NBA
Brooklyn Nets,2021-01-27,2021-01-25,2.0,Planned,NBA
Brooklyn Nets,2021-01-29,2021-01-27,2.0,Planned,NBA
Brooklyn Nets,2021-01-31,2021-01-29,2.0,Planned,NBA
Brooklyn Nets,2021-02-02,2021-01-31,2.0,Planned,NBA
Brooklyn Nets,2021-02-05,2021-02-02,3.0,Planned,NBA
Brooklyn Nets,2021-02-06,2021-02-05,1.0,Planned,NBA
Brooklyn Nets,2021-02-09,2021-02-06,3.0,Planned,NBA
Brooklyn Nets,2021-02-10,2021-02-09,1.0,Planned,NBA
Brooklyn Nets,2021-02-13,2021-02-10,3.0,Planned,NBA
Brooklyn Nets,2021-02-15,2021-02-13,2.0,Planned,NBA
Brooklyn Nets,2021-02-16,2021-02-15,1.0,Planned,NBA
Brooklyn Nets,2021-02-18,2021-02-16,2.0,Planned,NBA
Brooklyn Nets,2021-02-21,2021-02-18,3.0,Planned,NBA
Brooklyn Nets,2021-02-23,2021-02-21,2.0,Planned,NBA
Brooklyn Nets,2021-02-25,2021-02-23,2.0,Planned,NBA
Brooklyn Nets,2021-02-27,2021-02-25,2.0,Planned,NBA
Brooklyn Nets,2021-03-01,2021-02-27,2.0,Planned,NBA
Brooklyn Nets,2021-03-03,2021-03-01,2.0,Planned,NBA
Brooklyn Nets,2021-03-11,2021-03-03,8.0,Planned,NBA
Brooklyn Nets,2021-03-13,2021-03-11,2.0,Planned,NBA
Brooklyn Nets,2021-03-15,2021-03-13,2.0,Planned,NBA
Brooklyn Nets,2021-03-17,2021-03-15,2.0,Planned,NBA
Brooklyn Nets,2021-03-19,2021-03-17,2.0,Planned,NBA
Brooklyn Nets,2021-03-21,2021-03-19,2.0,Planned,NBA
Brooklyn Nets,2021-03-23,2021-03-21,2.0,Planned,NBA
Brooklyn Nets,2021-03-24,2021-03-23,1.0,Planned,NBA
Brooklyn Nets,2021-03-26,2021-03-24,2.0,Planned,NBA
Brooklyn Nets,2021-03-29,2021-03-26,3.0,Planned,NBA
Brooklyn Nets,2021-03-31,2021-03-29,2.0,Planned,NBA
Brooklyn Nets,2021-04-01,2021-03-31,1.0,Planned,NBA
Brooklyn Nets,2021-04-04,2021-04-01,3.0,Planned,NBA
Brooklyn Nets,2021-04-05,2021-04-04,1.0,Planned,NBA
Brooklyn Nets,2021-04-07,2021-04-05,2.0,Planned,NBA
Brooklyn Nets,2021-04-10,2021-04-07,3.0,Planned,NBA
Brooklyn Nets,2021-04-12,2021-04-10,2.0,Planned,NBA
Brooklyn Nets,2021-04-14,2021-04-12,2.0,Planned,NBA
Brooklyn Nets,2021-04-16,2021-04-14,2.0,Planned,NBA
Brooklyn Nets,2021-04-18,2021-04-16,2.0,Planned,NBA
Brooklyn Nets,2021-04-20,2021-04-18,2.0,Planned,NBA
Brooklyn Nets,2021-04-21,2021-04-20,1.0,Planned,NBA
Brooklyn Nets,2021-04-23,2021-04-21,2.0,Planned,NBA
Brooklyn Nets,2021-04-25,2021-04-23,2.0,Planned,NBA
Brooklyn Nets,2021-04-27,2021-04-25,2.0,Planned,NBA
Brooklyn Nets,2021-04-29,2021-04-27,2.0,Planned,NBA
Brooklyn Nets,2021-04-30,2021-04-29,1.0,Planned,NBA
Brooklyn Nets,2021-05-02,2021-04-30,2.0,Planned,NBA
Brooklyn Nets,2021-05-04,2021-05-02,2.0,Planned,NBA
Brooklyn Nets,2021-05-06,2021-05-04,2.0,Planned,NBA
Brooklyn Nets,2021-05-08,2021-05-06,2.0,Planned,NBA
Brooklyn Nets,2021-05-11,2021-05-08,3.0,Planned,NBA
Brooklyn Nets,2021-05-12,2021-05-11,1.0,Planned,NBA
Brooklyn Nets,2021-05-15,2021-05-12,3.0,Planned,NBA
Brooklyn Nets,2021-05-16,2021-05-15,1.0,Planned,NBA
Los Angeles Lakers,2020-12-25,2020-12-22,3.0,Planned,NBA
Los Angeles Lakers,2020-12-27,2020-12-25,2.0,Planned,NBA
Los Angeles Lakers,2020-12-28,2020-12-27,1.0,Planned,NBA
Los Angeles Lakers,2020-12-30,2020-12-28,2.0,Planned,NBA
Los Angeles Lakers,2021-01-01,2020-12-30,2.0,Planned,NBA
Los Angeles Lakers,2021-01-03,2021-01-01,2.0,Planned,NBA
Los Angeles Lakers,2021-01-05,2021-01-03,2.0,Planned,NBA
Los Angeles Lakers,2021-01-07,2021-01-05,2.0,Planned,NBA
Los Angeles Lakers,2021-01-08,2021-01-07,1.0,Planned,NBA
Los Angeles Lakers,2021-01-10,2021-01-08,2.0,Planned,NBA
Los Angeles Lakers,2021-01-12,2021-01-10,2.0,Planned,NBA
Los Angeles Lakers,2021-01-13,2021-01-12,1.0,Planned,NBA
Los Angeles Lakers,2021-01-15,2021-01-13,2.0,Planned,NBA
Los Angeles Lakers,2021-01-18,2021-01-15,3.0,Planned,NBA
Los Angeles Lakers,2021-01-21,2021-01-18,3.0,Planned,NBA
Los Angeles Lakers,2021-01-23,2021-01-21,2.0,Planned,NBA
Los Angeles Lakers,2021-01-25,2021-01-23,2.0,Planned,NBA
