home,visitor,game_date,Schedule Type,League
Brooklyn Nets,Golden State Warriors,2020-12-22,Planned,NBA
Los Angeles Lakers,Los Angeles Clippers,2020-12-22,Planned,NBA
Houston Rockets,Oklahoma City Thunder,2020-12-23,Planned,NBA
Phoenix Suns,Dallas Mavericks,2020-12-23,Planned,NBA
Portland Trail Blazers,Utah Jazz,2020-12-23,Planned,NBA
Denver Nuggets,Sacramento Kings,2020-12-23,Planned,NBA
Minnesota Timberwolves,Detroit Pistons,2020-12-23,Planned,NBA
Memphis Grizzlies,San Antonio Spurs,2020-12-23,Planned,NBA
Chicago Bulls,Atlanta Hawks,2020-12-23,Planned,NBA
Boston Celtics,Milwaukee Bucks,2020-12-23,Planned,NBA
Toronto Raptors,New Orleans Pelicans,2020-12-23,Planned,NBA
Philadelphia 76ers,Washington Wizards,2020-12-23,Planned,NBA
Orlando Magic,Miami Heat,2020-12-23,Planned,NBA
Indiana Pacers,New York Knicks,2020-12-23,Planned,NBA
Cleveland Cavaliers,Charlotte Hornets,2020-12-23,Planned,NBA
Denver Nuggets,Los Angeles Clippers,2020-12-25,Planned,NBA
Los Angeles Lakers,Dallas Mavericks,2020-12-25,Planned,NBA
Boston Celtics,Brooklyn Nets,2020-12-25,Planned,NBA
Milwaukee Bucks,Golden State Warriors,2020-12-25,Planned,NBA
Miami Heat,New Orleans Pelicans,2020-12-25,Planned,NBA
Memphis Grizzlies,Atlanta Hawks,2020-12-26,Planned,NBA
Charlotte Hornets,Oklahoma City Thunder,2020-12-26,Planned,NBA
Detroit Pistons,Cleveland Cavaliers,2020-12-26,Planned,NBA
Washington Wizards,Orlando Magic,2020-12-26,Planned,NBA
New York Knicks,Philadelphia 76ers,2020-12-26,Planned,NBA
Chicago Bulls,Indiana Pacers,2020-12-26,Planned,NBA
San Antonio Spurs,Toronto Raptors,2020-12-26,Planned,NBA
Utah Jazz,Minnesota Timberwolves,2020-12-26,Planned,NBA
Portland Trail Blazers,Houston Rockets,2020-12-26,Planned,NBA
Sacramento Kings,Phoenix Suns,2020-12-26,Planned,NBA
