Team,Distance,Breaks
Brooklyn Nets,59315.36104639383,40
Los Angeles Lakers,64527.684559215304,47
Cleveland Cavaliers,51843.73718024445,43
Indiana Pacers,55925.05257024184,36
Orlando Magic,70091.29883043923,39
Philadelphia 76ers,57106.06156964434,40
Toronto Raptors,56061.62947294438,41
Boston Celtics,63829.40408164328,43
Chicago Bulls,55799.633840390125,37
Memphis Grizzlies,55097.74806164387,44
Minnesota Timberwolves,66262.8680798337,40
Denver Nuggets,65047.947481392024,41
Portland Trail Blazers,67173.56176447592,47
Phoenix Suns,66466.70448698163,43
Miami Heat,64429.04354682349,42
Milwaukee Bucks,53540.457327350276,45
Charlotte Hornets,49520.38049721599,42
Detroit Pistons,51138.28462893508,37
Washington Wizards,52786.42004328709,45
New York Knicks,59972.10187629982,41
San Antonio Spurs,61779.69109908096,45
Utah Jazz,65044.171426613546,42
Sacramento Kings,71877.18320681938,42
Los Angeles Clippers,65279.401959772156,46
New Orleans Pelicans,64767.54807505551,44
Atlanta Hawks,51285.32139531369,39
Oklahoma City Thunder,53507.419073292935,47
Dallas Mavericks,61579.87239673661,41
Houston Rockets,65897.94773628823,41
Golden State Warriors,72352.13982803228,47
all,1819306.0771424011,1267
