Day,Brooklyn Nets,Los Angeles Lakers,Cleveland Cavaliers,Indiana Pacers,Orlando Magic,Philadelphia 76ers,Toronto Raptors,Boston Celtics,Chicago Bulls,Memphis Grizzlies,Minnesota Timberwolves,Denver Nuggets,Portland Trail Blazers,Phoenix Suns,Miami Heat,Milwaukee Bucks,Charlotte Hornets,Detroit Pistons,Washington Wizards,New York Knicks,San Antonio Spurs,Utah Jazz,Sacramento Kings,Los Angeles Clippers,New Orleans Pelicans,Atlanta Hawks,Oklahoma City Thunder,Dallas Mavericks,Houston Rockets,Golden State Warriors,mode,max,diff
2020-12-22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
2020-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
2020-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
2020-12-25,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,0,2,0,2,1,2,1
2020-12-26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,0
2020-12-27,3,3,3,3,3,3,2,3,3,2,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,2,1,3,1,3,3,3,0
2020-12-28,4,4,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,4,1
2020-12-29,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,3,4,4,4,3,3,4,4,4,3,3,3,2,4,4,4,0
2020-12-30,5,5,4,4,4,4,3,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,5,4,4,3,4,2,4,4,5,1
2020-12-31,5,5,5,5,5,5,4,5,5,4,4,4,4,5,4,5,4,4,5,5,4,4,5,5,5,4,4,4,3,4,5,5,0
2021-01-01,6,6,5,5,5,5,4,6,6,5,5,5,5,6,5,6,5,5,6,5,5,5,5,6,5,5,4,5,3,5,5,6,1
2021-01-02,6,6,6,6,6,6,5,6,6,5,5,5,5,6,5,6,6,5,6,6,5,5,6,6,6,6,5,5,4,5,6,6,0
2021-01-03,7,7,6,6,6,6,5,7,7,6,6,6,6,7,5,6,6,6,7,6,6,6,6,7,6,6,5,6,4,6,6,7,1
2021-01-04,7,7,7,7,7,7,6,8,7,6,6,6,6,7,6,7,7,7,7,7,6,6,7,7,7,7,6,7,5,7,7,8,1
2021-01-05,8,8,7,7,7,7,6,8,8,7,7,7,7,7,6,7,7,7,7,7,7,7,7,8,7,7,6,7,5,7,7,8,1
2021-01-06,8,8,8,8,8,8,7,9,9,7,7,7,7,8,7,8,8,8,8,8,7,8,8,9,8,8,7,7,6,8,8,9,1
2021-01-07,9,9,9,8,8,9,7,9,9,8,8,8,8,8,7,8,8,8,8,8,8,8,8,9,8,8,7,8,6,8,8,9,1
2021-01-08,10,10,9,8,9,9,8,10,10,9,8,8,8,9,7,9,9,9,9,9,8,9,9,10,9,8,8,8,7,9,9,10,1
2021-01-09,10,10,10,9,10,10,8,10,10,9,9,9,9,10,8,10,10,9,10,9,9,9,10,10,9,9,8,9,7,9,10,10,0
2021-01-10,11,11,10,9,10,10,9,10,11,9,10,10,9,10,8,10,10,10,10,10,10,10,10,11,9,9,9,9,8,10,10,11,1
2021-01-11,11,11,11,10,11,11,10,10,11,10,10,10,10,11,8,11,11,10,11,11,10,10,11,11,9,10,9,9,8,10,11,11,0
2021-01-12,12,12,12,11,11,12,10,10,11,10,10,11,10,11,9,11,11,10,11,11,11,11,11,11,9,10,10,9,9,11,11,12,1
2021-01-13,13,13,12,11,11,12,10,10,11,11,11,11,11,11,9,12,12,11,11,12,11,11,12,12,10,10,11,10,9,11,11,13,2
2021-01-14,13,13,12,12,11,13,11,10,11,11,11,12,12,11,10,12,13,11,11,12,12,11,12,12,10,10,11,10,10,12,13,13,0
2021-01-15,13,14,13,12,12,13,11,11,12,11,11,12,12,11,10,13,13,11,11,13,12,12,13,13,11,11,12,11,10,12,11,14,3
2021-01-16,14,14,13,12,13,14,12,11,12,12,11,12,13,11,11,13,14,12,11,13,13,12,13,13,11,12,12,11,11,12,12,14,2
2021-01-17,14,14,13,13,13,14,12,12,13,12,11,13,13,11,11,13,14,12,11,14,13,13,14,14,12,12,12,12,11,12,14,14,0
2021-01-18,15,15,13,13,14,14,13,12,14,13,12,13,14,12,12,14,14,13,11,15,14,13,14,14,12,13,12,13,12,13,13,15,2
2021-01-19,15,15,13,13,14,14,13,12,14,13,12,14,14,12,12,14,14,13,11,15,14,14,14,14,13,13,13,13,12,13,14,15,1
2021-01-20,16,15,14,14,15,15,14,13,14,13,13,14,14,13,13,14,14,14,11,15,15,14,15,15,13,14,13,14,13,14,14,16,2
2021-01-21,16,16,14,14,15,15,14,13,14,13,13,14,14,13,13,15,14,14,11,16,15,15,15,15,14,14,13,14,13,15,14,16,2
2021-01-22,17,16,15,15,16,16,15,14,15,13,14,15,14,14,14,15,15,15,11,17,16,15,16,16,14,15,14,15,14,15,15,17,2
2021-01-23,18,17,15,15,16,17,15,14,16,13,15,16,14,15,15,15,15,16,11,17,16,16,16,16,15,15,14,16,15,16,15,18,3
2021-01-24,18,17,16,16,17,17,16,15,16,13,15,16,15,15,15,16,16,16,12,18,17,16,16,17,15,16,15,16,15,16,16,18,2
2021-01-25,19,18,17,17,18,18,17,16,17,13,16,17,16,15,16,16,17,17,12,18,17,16,16,17,15,16,16,17,15,17,17,19,2
2021-01-26,19,18,17,17,18,18,17,16,17,13,16,17,16,15,16,16,17,17,13,19,17,17,16,18,15,17,16,17,16,17,17,19,2
2021-01-27,20,19,18,18,19,19,18,17,17,13,17,18,16,16,17,17,18,18,14,19,18,18,17,18,16,18,17,18,16,18,18,20,2
2021-01-28,20,20,18,18,19,19,18,17,17,13,17,18,17,17,18,17,18,19,14,19,18,18,17,19,16,18,17,18,17,19,18,20,2
2021-01-29,21,20,19,19,20,20,19,17,17,13,18,19,17,17,18,18,19,19,15,20,19,19,18,20,17,19,18,19,17,19,19,21,2
2021-01-30,21,21,19,19,20,20,19,18,18,14,18,19,18,18,19,19,20,20,15,20,20,19,19,20,18,19,18,20,18,20,21,21,0
2021-01-31,22,21,20,20,21,21,20,18,18,14,19,20,18,18,19,19,20,20,16,21,20,20,19,21,18,19,18,20,18,20,20,22,2
2021-02-01,22,22,21,20,21,21,20,18,19,15,20,20,19,19,20,20,21,20,16,22,21,20,20,21,19,20,19,21,19,20,20,22,2
2021-02-02,23,22,21,21,22,21,21,19,19,16,20,20,20,19,20,20,21,21,17,22,21,21,20,22,19,20,19,21,19,21,21,23,2
2021-02-03,23,22,22,22,22,22,21,20,20,16,21,20,20,20,21,21,22,21,18,23,22,21,21,23,20,21,20,22,20,21,21,23,2
2021-02-04,23,23,22,22,22,23,21,20,20,17,21,21,21,20,21,21,22,21,18,23,22,22,21,23,20,22,20,23,21,22,21,23,2
2021-02-05,24,23,23,23,23,23,22,21,21,17,22,21,21,21,22,22,23,22,19,23,22,23,21,24,21,22,21,23,21,22,24,24,0
2021-02-06,25,24,24,23,24,24,23,21,22,18,23,22,22,21,22,23,23,23,19,24,23,23,22,24,22,23,22,24,22,23,23,25,2
2021-02-07,25,24,24,24,24,24,23,22,22,18,23,22,22,22,23,23,24,23,20,25,23,24,23,25,22,23,22,24,22,23,23,25,2
2021-02-08,25,25,25,24,24,24,24,22,23,19,24,23,22,23,23,24,25,23,21,25,24,24,23,25,22,23,23,25,23,24,25,25,0
2021-02-09,26,25,25,24,25,25,24,23,23,19,24,23,23,23,24,24,25,24,21,26,25,25,24,25,23,23,23,25,24,25,25,26,1
2021-02-10,27,26,26,25,25,25,25,23,24,20,25,24,23,24,24,25,26,24,22,26,25,25,24,26,24,24,24,26,24,25,24,27,3
2021-02-11,27,26,26,26,26,26,26,24,24,20,25,24,24,24,25,25,26,25,22,26,25,25,24,26,24,24,24,26,25,26,26,27,1
2021-02-12,27,27,27,26,27,26,26,25,25,21,26,25,25,24,25,26,27,26,23,27,26,26,25,27,25,25,25,27,25,26,25,27,2
2021-02-13,28,27,27,27,27,27,26,25,25,21,26,25,25,25,26,26,27,26,23,28,26,27,25,27,25,26,25,27,26,27,27,28,1
2021-02-14,28,28,28,27,28,27,27,26,25,22,27,26,26,26,26,27,28,27,24,28,27,27,26,28,26,26,26,28,26,27,26,28,2
2021-02-15,29,28,29,28,28,28,27,26,26,22,27,26,26,26,27,27,28,27,25,29,27,28,27,29,26,27,26,28,27,28,27,29,2
2021-02-16,30,29,29,28,28,28,28,27,26,23,28,27,27,27,27,28,28,27,25,29,27,28,27,29,27,27,27,28,27,28,27,30,3
2021-02-17,30,29,29,29,29,29,28,28,27,24,29,28,28,27,28,28,28,28,26,30,27,29,27,30,28,28,28,28,28,29,28,30,2
2021-02-18,31,30,29,29,29,29,29,28,27,24,29,28,28,27,29,29,28,28,26,30,27,29,28,30,28,28,28,28,28,29,28,31,3
2021-02-19,31,30,30,29,30,30,30,29,28,25,30,29,28,28,29,30,28,29,26,30,27,30,28,31,29,29,29,28,28,30,30,31,1
2021-02-20,31,31,30,29,30,30,30,29,29,26,30,29,29,29,30,30,29,29,27,30,27,30,29,31,29,29,29,28,28,31,29,31,2
2021-02-21,32,31,31,29,31,31,31,30,29,26,31,30,29,29,30,31,29,30,27,31,27,30,30,32,30,30,30,28,28,31,32,32,0
2021-02-22,32,32,31,29,31,31,31,30,30,27,31,30,30,30,31,31,30,30,28,31,27,31,30,32,30,30,31,29,29,31,31,32,1
2021-02-23,33,32,32,29,32,32,32,31,30,27,32,31,31,30,31,32,30,31,29,32,27,31,31,33,30,31,31,30,29,32,33,33,0
2021-02-24,33,33,33,30,32,32,33,32,31,27,33,31,31,31,32,32,31,32,29,32,28,32,31,33,31,32,32,30,30,33,32,33,1
