Day,Brooklyn Nets,Los Angeles Lakers,Cleveland Cavaliers,Indiana Pacers,Orlando Magic,Philadelphia 76ers,Toronto Raptors,Boston Celtics,Chicago Bulls,Memphis Grizzlies,Minnesota Timberwolves,Denver Nuggets,Portland Trail Blazers,Phoenix Suns,Miami Heat,Milwaukee Bucks,Charlotte Hornets,Detroit Pistons,Washington Wizards,New York Knicks,San Antonio Spurs,Utah Jazz,Sacramento Kings,Los Angeles Clippers,New Orleans Pelicans,Atlanta Hawks,Oklahoma City Thunder,Dallas Mavericks,Houston Rockets,Golden State Warriors,mode,max,diff
2020-12-22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-12-25,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020-12-26,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,1
2020-12-27,1,3,2,2,1,1,1,2,3,2,1,2,2,1,1,1,2,1,2,2,1,1,2,1,1,0,0,0,0,0,1,3,2
2020-12-28,2,4,2,2,1,1,1,2,3,2,1,3,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,0,0,0,1,4,3
2020-12-29,2,4,3,3,1,2,1,2,3,2,1,3,2,2,2,1,2,2,3,2,1,1,3,2,1,1,2,0,0,0,2,4,2
2020-12-30,3,4,3,3,1,2,1,3,3,2,1,3,2,2,3,1,2,2,3,2,2,1,3,3,1,1,2,1,0,0,3,4,1
2020-12-31,3,4,3,4,2,2,2,3,3,2,1,3,2,2,3,1,2,2,4,2,2,2,3,3,1,1,3,1,1,0,2,4,2
2021-01-01,4,4,3,4,2,2,2,3,3,2,2,4,2,2,3,2,3,3,4,2,3,3,3,3,1,1,3,2,1,1,3,4,1
