team,home_reschedule,away_reschedule,reschedules
Atlanta Hawks,0.0,1.0,1.0
Boston Celtics,2.0,1.0,3.0
Brooklyn Nets,0.0,1.0,1.0
Charlotte Hornets,2.0,0.0,2.0
Chicago Bulls,1.0,3.0,4.0
Cleveland Cavaliers,1.0,2.0,3.0
Dallas Mavericks,2.0,1.0,3.0
Denver Nuggets,1.0,0.0,1.0
Detroit Pistons,2.0,3.0,5.0
Golden State Warriors,0.0,1.0,1.0
Houston Rockets,3.0,0.0,3.0
Indiana Pacers,1.0,2.0,3.0
Los Angeles Clippers,0.0,0.0,0.0
Los Angeles Lakers,0.0,0.0,0.0
Memphis Grizzlies,3.0,3.0,6.0
Miami Heat,0.0,1.0,1.0
Milwaukee Bucks,1.0,0.0,1.0
Minnesota Timberwolves,2.0,0.0,2.0
New Orleans Pelicans,1.0,1.0,2.0
New York Knicks,1.0,0.0,1.0
Oklahoma City Thunder,1.0,1.0,2.0
Orlando Magic,0.0,1.0,1.0
Philadelphia 76ers,0.0,1.0,1.0
Phoenix Suns,3.0,0.0,3.0
Portland Trail Blazers,2.0,0.0,2.0
Sacramento Kings,0.0,2.0,2.0
San Antonio Spurs,0.0,5.0,5.0
Toronto Raptors,2.0,0.0,2.0
Utah Jazz,0.0,1.0,1.0
Washington Wizards,3.0,3.0,6.0
