Team,Max_games_1_home,Max_games_1_away,Max_games_1_all,Max_games_2_home,Max_games_2_away,Max_games_2_all,Max_games_3_home,Max_games_3_away,Max_games_3_all,Max_games_4_home,Max_games_4_away,Max_games_4_all,Max_games_5_home,Max_games_5_away,Max_games_5_all,Max_games_6_home,Max_games_6_away,Max_games_6_all,Max_games_7_home,Max_games_7_away,Max_games_7_all,Back2Backs_home,Back2Backs_away,Back2Backs_all
Brooklyn Nets,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,2,4,15
Los Angeles Lakers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,5,13
Cleveland Cavaliers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,8,4,17
Indiana Pacers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,3,5,17
Orlando Magic,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,7,14
Philadelphia 76ers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,5,3,4,14
Toronto Raptors,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,3,10,16
Boston Celtics,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,5,15
Chicago Bulls,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,4,5,17
Memphis Grizzlies,1,1,1,2,2,2,2,2,2,3,3,3,4,3,4,4,4,4,4,4,5,8,7,16
Minnesota Timberwolves,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,7,6,16
Denver Nuggets,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,2,6,13
Portland Trail Blazers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,8,8,17
Phoenix Suns,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,7,9,17
Miami Heat,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,3,5,13
Milwaukee Bucks,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,4,6,14
Charlotte Hornets,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,6,5,16
Detroit Pistons,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,3,6,16
Washington Wizards,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,4,5,7,6,17
New York Knicks,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,3,14
San Antonio Spurs,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,7,6,16
Utah Jazz,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,7,4,14
Sacramento Kings,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,6,6,16
Los Angeles Clippers,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,4,7,13
New Orleans Pelicans,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,6,3,14
Atlanta Hawks,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,6,3,15
Oklahoma City Thunder,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,7,7,17
Dallas Mavericks,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,3,16
Houston Rockets,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,4,5,5,8,14
Golden State Warriors,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,8,15
