team,home_reschedule,away_reschedule,reschedules
Anaheim Ducks,1.0,1.0,1.0
Arizona Coyotes,1.0,1.0,1.0
Boston Bruins,1.0,1.0,1.0
Buffalo Sabres,1.0,1.0,1.0
Calgary Flames,1.0,0.0,1.0
Carolina Hurricanes,1.0,1.0,1.0
Chicago Blackhawks,1.0,1.0,1.0
Colorado Avalanche,1.0,1.0,1.0
Columbus Blue Jackets,1.0,0.0,1.0
Dallas Stars,1.0,1.0,1.0
Detroit Red Wings,0.0,0.0,0.0
Edmonton Oilers,1.0,1.0,1.0
Florida Panthers,1.0,1.0,1.0
Los Angeles Kings,1.0,1.0,1.0
Minnesota Wild,1.0,1.0,1.0
Montreal Canadiens,1.0,0.0,1.0
Nashville Predators,1.0,1.0,1.0
New Jersey Devils,1.0,1.0,1.0
New York Islanders,1.0,1.0,1.0
New York Rangers,1.0,1.0,1.0
Ottawa Senators,1.0,1.0,1.0
Philadelphia Flyers,1.0,1.0,1.0
Pittsburgh Penguins,1.0,1.0,1.0
San Jose Sharks,1.0,0.0,1.0
St. Louis Blues,1.0,1.0,1.0
Tampa Bay Lightning,1.0,1.0,1.0
Toronto Maple Leafs,1.0,1.0,1.0
Vancouver Canucks,0.0,1.0,1.0
Vegas Golden Knights,1.0,1.0,1.0
Washington Capitals,1.0,1.0,1.0
Winnipeg Jets,1.0,0.0,1.0
