game_week_day,final_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number,game_date,reschedule_type,reschedule,day_difference,original_date,final_day_difference,Schedule Type,Schedule Owner,League,aux_date,NewReschedule
Wed,2020-12-23,2020,7:00p,Washington Wizards,107,Philadelphia 76ers,113,,0,2020/2021,Dec,23,12,2020-12-23,,0.0,0.0,2020-12-23,0.0,basic - low - basic - monthly,Us,NBA,,
Sat,2020-12-26,2020,7:00p,Orlando Magic,130,Washington Wizards,120,,0,2020/2021,Dec,26,12,2020-12-26,,0.0,0.0,2020-12-26,0.0,basic - low - basic - monthly,Us,NBA,,
Sun,2020-12-27,2020,7:00p,Orlando Magic,120,Washington Wizards,113,,0,2020/2021,Dec,27,12,2020-12-27,,0.0,0.0,2020-12-27,0.0,basic - low - basic - monthly,Us,NBA,,
Tue,2020-12-29,2020,7:00p,Chicago Bulls,115,Washington Wizards,107,,0,2020/2021,Dec,29,12,2020-12-29,,0.0,0.0,2020-12-29,0.0,basic - low - basic - monthly,Us,NBA,,
Thu,2020-12-31,2020,5:00p,Chicago Bulls,133,Washington Wizards,130,,0,2020/2021,Dec,31,12,2020-12-31,,0.0,0.0,2020-12-31,0.0,basic - low - basic - monthly,Us,NBA,,
Fri,2021-01-01,2021,8:00p,Washington Wizards,130,Minnesota Timberwolves,109,,0,2020/2021,Jan,1,1,2021-01-01,,0.0,0.0,2021-01-01,0.0,basic - low - basic - monthly,Us,NBA,,
Sun,2021-01-03,2021,6:00p,Washington Wizards,123,Brooklyn Nets,122,,0,2020/2021,Jan,3,1,2021-01-03,,0.0,0.0,2021-01-03,0.0,basic - low - basic - monthly,Us,NBA,,
Wed,2021-01-06,2021,7:00p,Washington Wizards,136,Philadelphia 76ers,141,,0,2020/2021,Jan,6,1,2021-01-06,,0.0,0.0,2021-01-06,0.0,basic - low - basic - monthly,Us,NBA,,
Fri,2021-01-08,2021,7:30p,Washington Wizards,107,Boston Celtics,116,,0,2020/2021,Jan,8,1,2021-01-08,,0.0,0.0,2021-01-08,0.0,basic - low - basic - monthly,Us,NBA,,
Sat,2021-01-09,2021,7:00p,Miami Heat,128,Washington Wizards,124,,0,2020/2021,Jan,9,1,2021-01-09,,0.0,0.0,2021-01-09,0.0,basic - low - basic - monthly,Us,NBA,,
Mon,2021-01-11,2021,7:00p,Phoenix Suns,107,Washington Wizards,128,,0,2020/2021,Jan,11,1,2021-01-11,,0.0,0.0,2021-01-11,0.0,basic - low - basic - monthly,Us,NBA,,
Sun,2021-01-24,2021,8:00p,Washington Wizards,101,San Antonio Spurs,121,,0,2020/2021,Jan,24,1,2021-01-24,,0.0,0.0,2021-01-24,0.0,basic - low - basic - monthly,Us,NBA,,
Tue,2021-01-26,2021,8:00p,Washington Wizards,88,Houston Rockets,107,,2996,2020/2021,Jan,26,1,2021-01-26,,0.0,0.0,2021-01-26,0.0,basic - low - basic - monthly,Us,NBA,,
Wed,2021-01-27,2021,9:00p,Washington Wizards,106,New Orleans Pelicans,124,,750,2020/2021,Jan,27,1,2021-01-27,,0.0,0.0,2021-01-27,0.0,basic - low - basic - monthly,Us,NBA,,
Fri,2021-01-29,2021,7:00p,Atlanta Hawks,116,Washington Wizards,100,,0,2020/2021,Jan,29,1,2021-01-29,,0.0,0.0,2021-01-29,0.0,basic - low - basic - monthly,Us,NBA,,
Sun,2021-01-31,2021,7:00p,Brooklyn Nets,146,Washington Wizards,149,,0,2020/2021,Jan,31,1,2021-01-31,,0.0,0.0,2021-01-31,0.0,basic - low - basic - monthly,Us,NBA,,
Tue,2021-02-02,2021,8:00p,Portland Trail Blazers,132,Washington Wizards,121,,0,2020/2021,Feb,2,2,2021-02-02,,0.0,0.0,2021-02-02,0.0,basic - low - basic - monthly,Us,NBA,,
Wed,2021-02-03,2021,8:00p,Washington Wizards,103,Miami Heat,100,,0,2020/2021,Feb,3,2,2021-02-03,,0.0,0.0,2021-02-03,0.0,basic - low - basic - monthly,Us,NBA,,
Fri,2021-02-05,2021,8:00p,Washington Wizards,95,Miami Heat,122,,0,2020/2021,Feb,5,2,2021-02-05,,0.0,0.0,2021-02-05,0.0,basic - low - basic - monthly,Us,NBA,,
Sun,2021-02-07,2021,1:00p,Washington Wizards,97,Charlotte Hornets,119,,0,2020/2021,Feb,7,2,2021-05-22,covid,1.0,122.0,2021-01-20,18.0,basic - low - basic - monthly,Us,NBA,,
Mon,2021-02-08,2021,8:00p,Washington Wizards,105,Chicago Bulls,101,,0,2020/2021,Feb,8,2,2021-02-08,,0.0,0.0,2021-02-08,0.0,basic - low - basic - monthly,Us,NBA,,
Wed,2021-02-10,2021,7:00p,Toronto Raptors,137,Washington Wizards,115,,0,2020/2021,Feb,10,2,2021-02-10,,0.0,0.0,2021-02-10,0.0,basic - low - basic - monthly,Us,NBA,,
Fri,2021-02-12,2021,7:00p,New York Knicks,109,Washington Wizards,91,,0,2020/2021,Feb,12,2,2021-02-12,,0.0,0.0,2021-02-12,0.0,basic - low - basic - monthly,Us,NBA,,
Sun,2021-02-14,2021,1:00p,Boston Celtics,91,Washington Wizards,104,,0,2020/2021,Feb,14,2,2021-02-14,,0.0,0.0,2021-02-14,0.0,basic - low - basic - monthly,Us,NBA,,
