Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date
3/10/2018,Anaheim Ducks,5,San Jose Sharks,2,,17562,02:25,,2018-10-03
3/10/2018,Montreal Canadiens,2,Toronto Maple Leafs,3,OT,19589,02:37,,2018-10-03
3/10/2018,Calgary Flames,2,Vancouver Canucks,5,,18870,02:31,,2018-10-03
3/10/2018,Boston Bruins,0,Washington Capitals,7,,18506,02:30,,2018-10-03
4/10/2018,Boston Bruins,4,Buffalo Sabres,0,,19070,02:35,,2018-10-04
4/10/2018,New York Islanders,2,Carolina Hurricanes,1,OT,18680,02:34,,2018-10-04
4/10/2018,Minnesota Wild,1,Colorado Avalanche,4,,18086,02:37,,2018-10-04
4/10/2018,Arizona Coyotes,0,Dallas Stars,3,,18532,02:34,,2018-10-04
4/10/2018,Columbus Blue Jackets,3,Detroit Red Wings,2,OT,19515,02:43,at Little Caesars Arena (Detroit MI),2018-10-04
4/10/2018,Nashville Predators,3,New York Rangers,2,,17117,02:31,,2018-10-04
4/10/2018,Chicago Blackhawks,4,Ottawa Senators,3,OT,15858,02:38,,2018-10-04
4/10/2018,Washington Capitals,6,Pittsburgh Penguins,7,OT,18627,02:39,,2018-10-04
4/10/2018,Winnipeg Jets,5,St. Louis Blues,1,,18292,02:35,,2018-10-04
4/10/2018,Philadelphia Flyers,5,Vegas Golden Knights,2,,18555,02:24,,2018-10-04
5/10/2018,Carolina Hurricanes,3,Columbus Blue Jackets,1,,18306,02:35,,2018-10-05
5/10/2018,San Jose Sharks,3,Los Angeles Kings,2,OT,18230,02:36,,2018-10-05
6/10/2018,Anaheim Ducks,1,Arizona Coyotes,0,,17125,02:24,,2018-10-06
6/10/2018,New York Rangers,1,Buffalo Sabres,3,,16824,02:45,,2018-10-06
6/10/2018,Vancouver Canucks,4,Calgary Flames,7,,18688,02:39,,2018-10-06
6/10/2018,Philadelphia Flyers,2,Colorado Avalanche,5,,16768,02:33,,2018-10-06
6/10/2018,Winnipeg Jets,1,Dallas Stars,5,,18131,02:36,,2018-10-06
6/10/2018,Vegas Golden Knights,2,Minnesota Wild,1,SO,19077,03:18,,2018-10-06
6/10/2018,Edmonton Oilers,2,New Jersey Devils,5,,12044,02:31,NHL Global Series,2018-10-06
6/10/2018,Nashville Predators,4,New York Islanders,3,,12163,02:25,,2018-10-06
6/10/2018,Montreal Canadiens,5,Pittsburgh Penguins,1,,18622,02:26,,2018-10-06
6/10/2018,Chicago Blackhawks,5,St. Louis Blues,4,OT,17429,02:39,,2018-10-06
6/10/2018,Florida Panthers,1,Tampa Bay Lightning,2,SO,19092,02:39,,2018-10-06
6/10/2018,Ottawa Senators,5,Toronto Maple Leafs,3,,19321,02:35,,2018-10-06
7/10/2018,New York Rangers,5,Carolina Hurricanes,8,,13526,02:37,,2018-10-07
7/10/2018,Toronto Maple Leafs,7,Chicago Blackhawks,6,OT,21812,02:31,,2018-10-07
7/10/2018,Detroit Red Wings,2,Los Angeles Kings,4,,18230,02:43,,2018-10-07
8/10/2018,Detroit Red Wings,2,Anaheim Ducks,3,SO,17436,02:44,,2018-10-08
8/10/2018,Ottawa Senators,3,Boston Bruins,6,,17565,02:33,,2018-10-08
8/10/2018,Vegas Golden Knights,2,Buffalo Sabres,4,,16004,02:20,,2018-10-08
8/10/2018,San Jose Sharks,0,New York Islanders,4,,8790,02:26,,2018-10-08
9/10/2018,Vancouver Canucks,3,Carolina Hurricanes,5,,11932,02:35,,2018-10-09
9/10/2018,Colorado Avalanche,2,Columbus Blue Jackets,5,,11694,02:27,,2018-10-09
9/10/2018,Toronto Maple Leafs,7,Dallas Stars,4,,17866,02:30,,2018-10-09
9/10/2018,Calgary Flames,3,Nashville Predators,0,,17209,02:32,,2018-10-09
9/10/2018,San Jose Sharks,8,Philadelphia Flyers,2,,19133,02:34,,2018-10-09
9/10/2018,Los Angeles Kings,1,Winnipeg Jets,2,,15321,02:27,,2018-10-09
10/10/2018,Arizona Coyotes,3,Anaheim Ducks,2,SO,17015,02:30,,2018-10-10
10/10/2018,Philadelphia Flyers,7,Ottawa Senators,4,,13215,02:38,,2018-10-10
10/10/2018,Vegas Golden Knights,2,Washington Capitals,5,,18506,02:40,,2018-10-10
11/10/2018,Edmonton Oilers,1,Boston Bruins,4,,17565,02:28,,2018-10-11
11/10/2018,Colorado Avalanche,6,Buffalo Sabres,1,,15396,02:30,,2018-10-11
11/10/2018,Toronto Maple Leafs,5,Detroit Red Wings,3,,19515,02:32,at Little Caesars Arena (Detroit MI),2018-10-11
11/10/2018,Columbus Blue Jackets,5,Florida Panthers,4,,14394,02:34,,2018-10-11
11/10/2018,Chicago Blackhawks,3,Minnesota Wild,4,OT,18652,02:42,,2018-10-11
11/10/2018,Los Angeles Kings,3,Montreal Canadiens,0,,21302,02:33,,2018-10-11
11/10/2018,Washington Capitals,0,New Jersey Devils,6,,16514,02:31,,2018-10-11
11/10/2018,Winnipeg Jets,0,Nashville Predators,3,,17228,02:30,,2018-10-11
11/10/2018,San Jose Sharks,2,New York Rangers,3,OT,17004,02:31,,2018-10-11
11/10/2018,Vegas Golden Knights,2,Pittsburgh Penguins,4,,18610,02:27,,2018-10-11
11/10/2018,Calgary Flames,3,St. Louis Blues,5,,16403,02:37,,2018-10-11
11/10/2018,Vancouver Canucks,4,Tampa Bay Lightning,1,,19092,02:23,,2018-10-11
13/10/2018,Buffalo Sabres,3,Arizona Coyotes,0,,15304,02:32,,2018-10-13
13/10/2018,Detroit Red Wings,2,Boston Bruins,8,,17565,02:40,,2018-10-13
13/10/2018,St. Louis Blues,3,Chicago Blackhawks,4,OT,21634,02:38,,2018-10-13
13/10/2018,Calgary Flames,3,Colorado Avalanche,2,OT,17334,02:34,,2018-10-13
13/10/2018,Anaheim Ducks,3,Dallas Stars,5,,18532,02:38,,2018-10-13
13/10/2018,Vancouver Canucks,3,Florida Panthers,2,,11953,02:32,,2018-10-13
13/10/2018,Carolina Hurricanes,5,Minnesota Wild,4,OT,18715,02:56,,2018-10-13
13/10/2018,Pittsburgh Penguins,3,Montreal Canadiens,4,SO,21302,03:23,,2018-10-13
13/10/2018,New York Islanders,2,Nashville Predators,5,,17208,02:34,,2018-10-13
13/10/2018,Edmonton Oilers,2,New York Rangers,1,,17085,02:24,,2018-10-13
13/10/2018,Los Angeles Kings,1,Ottawa Senators,5,,15355,02:29,,2018-10-13
13/10/2018,Vegas Golden Knights,1,Philadelphia Flyers,0,,19067,02:19,,2018-10-13
13/10/2018,Columbus Blue Jackets,2,Tampa Bay Lightning,8,,19092,02:36,,2018-10-13
