Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
13/1/2021,St. Louis Blues,4,Colorado Avalanche,1,,,02:24,
13/1/2021,Vancouver Canucks,5,Edmonton Oilers,3,,,02:24,
13/1/2021,Pittsburgh Penguins,3,Philadelphia Flyers,6,,,02:21,
13/1/2021,Chicago Blackhawks,1,Tampa Bay Lightning,5,,,02:26,
13/1/2021,Montreal Canadiens,4,Toronto Maple Leafs,5,OT,,02:38,
14/1/2021,San Jose Sharks,4,Arizona Coyotes,3,SO,2274.0,02:37,
14/1/2021,Washington Capitals,6,Buffalo Sabres,4,,,02:23,
14/1/2021,Carolina Hurricanes,3,Detroit Red Wings,0,,,02:25,
14/1/2021,Vancouver Canucks,2,Edmonton Oilers,5,,,02:30,
14/1/2021,Minnesota Wild,4,Los Angeles Kings,3,OT,,02:37,
14/1/2021,Boston Bruins,3,New Jersey Devils,2,SO,,02:43,
14/1/2021,Columbus Blue Jackets,1,Nashville Predators,3,,,02:29,
14/1/2021,New York Islanders,4,New York Rangers,0,,,02:30,
14/1/2021,Anaheim Ducks,2,Vegas Golden Knights,5,,,02:24,
14/1/2021,Calgary Flames,3,Winnipeg Jets,4,OT,,02:26,
15/1/2021,Washington Capitals,2,Buffalo Sabres,1,,,02:17,
15/1/2021,St. Louis Blues,0,Colorado Avalanche,8,,,02:31,
15/1/2021,Toronto Maple Leafs,3,Ottawa Senators,5,,,02:28,
15/1/2021,Pittsburgh Penguins,2,Philadelphia Flyers,5,,,02:23,
15/1/2021,Chicago Blackhawks,2,Tampa Bay Lightning,5,,,02:23,
16/1/2021,San Jose Sharks,3,Arizona Coyotes,5,,2384.0,02:22,
16/1/2021,Vancouver Canucks,0,Calgary Flames,3,,,02:24,
16/1/2021,Carolina Hurricanes,2,Detroit Red Wings,4,,,02:28,
16/1/2021,Montreal Canadiens,5,Edmonton Oilers,1,,,02:20,
16/1/2021,Minnesota Wild,4,Los Angeles Kings,3,OT,,02:42,
16/1/2021,Boston Bruins,1,New Jersey Devils,2,OT,,02:34,
16/1/2021,Columbus Blue Jackets,2,Nashville Predators,5,,,02:28,
16/1/2021,New York Islanders,0,New York Rangers,5,,,02:41,
16/1/2021,Toronto Maple Leafs,3,Ottawa Senators,2,,,02:23,
16/1/2021,Anaheim Ducks,1,Vegas Golden Knights,2,OT,,02:18,
17/1/2021,Chicago Blackhawks,2,Florida Panthers,5,,4147.0,02:27,
17/1/2021,Washington Capitals,3,Pittsburgh Penguins,4,SO,,02:40,
18/1/2021,Minnesota Wild,0,Anaheim Ducks,1,,,02:28,
18/1/2021,Vancouver Canucks,2,Calgary Flames,5,,,02:21,
18/1/2021,Columbus Blue Jackets,3,Detroit Red Wings,2,,,02:37,
18/1/2021,Montreal Canadiens,3,Edmonton Oilers,1,,,02:26,
18/1/2021,Carolina Hurricanes,4,Nashville Predators,2,,,02:22,
18/1/2021,Boston Bruins,0,New York Islanders,1,,,02:26,at Nassau Veterans Memorial Coliseum (Uniondale NY)
18/1/2021,Buffalo Sabres,6,Philadelphia Flyers,1,,,02:26,
18/1/2021,San Jose Sharks,4,St. Louis Blues,5,,,02:32,
18/1/2021,Winnipeg Jets,1,Toronto Maple Leafs,3,,,02:20,
18/1/2021,Arizona Coyotes,2,Vegas Golden Knights,4,,,02:33,
19/1/2021,Columbus Blue Jackets,2,Detroit Red Wings,3,OT,,02:21,
19/1/2021,Chicago Blackhawks,4,Florida Panthers,5,OT,3667.0,02:34,
19/1/2021,Colorado Avalanche,3,Los Angeles Kings,2,,,02:27,
19/1/2021,New Jersey Devils,4,New York Rangers,3,,,02:30,
19/1/2021,Winnipeg Jets,4,Ottawa Senators,3,OT,,02:29,
19/1/2021,Buffalo Sabres,0,Philadelphia Flyers,3,,,02:29,
19/1/2021,Washington Capitals,4,Pittsburgh Penguins,5,OT,,02:34,
20/1/2021,Minnesota Wild,3,Anaheim Ducks,2,,,02:33,
20/1/2021,San Jose Sharks,2,St. Louis Blues,1,SO,,02:36,
20/1/2021,Edmonton Oilers,3,Toronto Maple Leafs,1,,,02:17,
20/1/2021,Montreal Canadiens,5,Vancouver Canucks,6,SO,,02:31,
20/1/2021,Arizona Coyotes,2,Vegas Golden Knights,5,,,02:24,
21/1/2021,Philadelphia Flyers,4,Boston Bruins,5,SO,,02:46,
21/1/2021,Tampa Bay Lightning,3,Columbus Blue Jackets,2,OT,,02:29,
21/1/2021,Colorado Avalanche,2,Los Angeles Kings,4,,,02:25,
21/1/2021,New Jersey Devils,1,New York Islanders,4,,,02:25,at Nassau Veterans Memorial Coliseum (Uniondale NY)
21/1/2021,Winnipeg Jets,4,Ottawa Senators,1,,,02:25,
21/1/2021,Montreal Canadiens,7,Vancouver Canucks,3,,,02:31,
22/1/2021,Colorado Avalanche,3,Anaheim Ducks,2,OT,,02:35,
22/1/2021,Vegas Golden Knights,2,Arizona Coyotes,5,,2712.0,02:21,
22/1/2021,Detroit Red Wings,1,Chicago Blackhawks,4,,,02:17,
22/1/2021,Nashville Predators,0,Dallas Stars,7,,4214.0,02:32,
22/1/2021,San Jose Sharks,1,Minnesota Wild,4,,,02:28,
22/1/2021,New York Rangers,3,Pittsburgh Penguins,4,SO,,02:27,
22/1/2021,Edmonton Oilers,2,Toronto Maple Leafs,4,,,02:21,
22/1/2021,Buffalo Sabres,3,Washington Capitals,4,SO,,02:39,
23/1/2021,Philadelphia Flyers,1,Boston Bruins,6,,,02:26,
23/1/2021,Tampa Bay Lightning,2,Columbus Blue Jackets,5,,,02:26,
23/1/2021,Los Angeles Kings,2,St. Louis Blues,4,,,02:27,
23/1/2021,Montreal Canadiens,5,Vancouver Canucks,2,,,02:29,
23/1/2021,Ottawa Senators,3,Winnipeg Jets,6,,,02:27,
24/1/2021,Colorado Avalanche,1,Anaheim Ducks,3,,,02:19,
24/1/2021,Vegas Golden Knights,1,Arizona Coyotes,0,,2672.0,02:17,
24/1/2021,Toronto Maple Leafs,3,Calgary Flames,2,,,02:22,
24/1/2021,Detroit Red Wings,2,Chicago Blackhawks,6,,,02:11,
24/1/2021,Nashville Predators,2,Dallas Stars,3,,4056.0,02:28,
24/1/2021,San Jose Sharks,5,Minnesota Wild,3,,,02:36,
24/1/2021,New York Islanders,0,New Jersey Devils,2,,,02:24,
24/1/2021,New York Rangers,2,Pittsburgh Penguins,3,,,02:25,
24/1/2021,Los Angeles Kings,6,St. Louis Blues,3,,,02:28,
24/1/2021,Edmonton Oilers,4,Winnipeg Jets,3,,,02:27,
24/1/2021,Buffalo Sabres,4,Washington Capitals,3,SO,,02:44,
25/1/2021,Ottawa Senators,1,Vancouver Canucks,7,,,02:30,
26/1/2021,Anaheim Ducks,1,Arizona Coyotes,0,,1808.0,02:25,
26/1/2021,Pittsburgh Penguins,2,Boston Bruins,3,OT,,02:40,
26/1/2021,New York Rangers,2,Buffalo Sabres,3,,,02:22,
26/1/2021,Florida Panthers,4,Columbus Blue Jackets,3,SO,,02:29,
26/1/2021,Toronto Maple Leafs,4,Calgary Flames,3,,,02:24,
26/1/2021,San Jose Sharks,3,Colorado Avalanche,7,,,02:32,
26/1/2021,Detroit Red Wings,1,Dallas Stars,2,OT,4109.0,02:26,
26/1/2021,Los Angeles Kings,2,Minnesota Wild,1,,,02:22,
26/1/2021,Philadelphia Flyers,5,New Jersey Devils,3,,,02:24,
26/1/2021,Chicago Blackhawks,2,Nashville Predators,3,OT,,02:28,
26/1/2021,St. Louis Blues,5,Vegas Golden Knights,4,SO,,02:41,
26/1/2021,Edmonton Oilers,4,Winnipeg Jets,6,,,02:21,
26/1/2021,New York Islanders,2,Washington Capitals,3,,,02:25,
27/1/2021,Chicago Blackhawks,1,Nashville Predators,2,SO,,02:24,
27/1/2021,Ottawa Senators,1,Vancouver Canucks,5,,,02:22,
28/1/2021,Anaheim Ducks,2,Arizona Coyotes,3,,2252.0,02:25,
28/1/2021,Pittsburgh Penguins,1,Boston Bruins,4,,,02:15,
28/1/2021,New York Rangers,3,Buffalo Sabres,2,OT,,02:28,
28/1/2021,Tampa Bay Lightning,0,Carolina Hurricanes,1,OT,,02:23,
28/1/2021,Florida Panthers,2,Columbus Blue Jackets,3,SO,,02:30,
28/1/2021,San Jose Sharks,0,Colorado Avalanche,3,,,02:25,
28/1/2021,Detroit Red Wings,3,Dallas Stars,7,,4214.0,02:27,
28/1/2021,Toronto Maple Leafs,4,Edmonton Oilers,3,,,02:22,
28/1/2021,Los Angeles Kings,3,Minnesota Wild,5,,,02:32,
28/1/2021,Calgary Flames,2,Montreal Canadiens,4,,,02:27,
28/1/2021,Philadelphia Flyers,3,New Jersey Devils,1,,,02:19,
28/1/2021,Ottawa Senators,1,Vancouver Canucks,4,,,02:20,
28/1/2021,New York Islanders,3,Washington Capitals,6,,,02:28,
29/1/2021,Columbus Blue Jackets,2,Chicago Blackhawks,1,,,02:16,
30/1/2021,St. Louis Blues,6,Anaheim Ducks,1,,,02:19,
30/1/2021,New Jersey Devils,3,Buffalo Sabres,4,SO,,02:39,
30/1/2021,Dallas Stars,1,Carolina Hurricanes,4,,,02:33,
30/1/2021,Florida Panthers,3,Detroit Red Wings,2,OT,,02:30,
30/1/2021,Toronto Maple Leafs,3,Edmonton Oilers,4,OT,,02:31,
30/1/2021,Colorado Avalanche,5,Minnesota Wild,1,,,02:31,
30/1/2021,Calgary Flames,2,Montreal Canadiens,0,,,02:31,
30/1/2021,Pittsburgh Penguins,5,New York Rangers,4,OT,,02:27,
30/1/2021,New York Islanders,2,Philadelphia Flyers,3,OT,,02:19,
30/1/2021,Nashville Predators,3,Tampa Bay Lightning,4,,,02:35,
30/1/2021,Vancouver Canucks,4,Winnipeg Jets,1,,,02:22,
30/1/2021,Boston Bruins,3,Washington Capitals,4,OT,,02:28,
31/1/2021,St. Louis Blues,4,Anaheim Ducks,1,,,02:23,
31/1/2021,New Jersey Devils,5,Buffalo Sabres,3,,,02:24,
31/1/2021,Dallas Stars,3,Carolina Hurricanes,4,SO,,02:42,
31/1/2021,Columbus Blue Jackets,1,Chicago Blackhawks,3,,,02:15,
31/1/2021,Florida Panthers,3,Detroit Red Wings,2,,,02:29,
31/1/2021,Ottawa Senators,5,Edmonton Oilers,8,,,02:33,
31/1/2021,Colorado Avalanche,3,Minnesota Wild,4,OT,,02:31,
31/1/2021,New York Islanders,3,Philadelphia Flyers,4,OT,,02:25,
1/2/2021,Vancouver Canucks,2,Montreal Canadiens,6,,,02:20,
1/2/2021,Pittsburgh Penguins,1,New York Rangers,3,,,02:20,
1/2/2021,Nashville Predators,2,Tampa Bay Lightning,5,,,02:25,
1/2/2021,Calgary Flames,4,Winnipeg Jets,3,SO,,02:18,
1/2/2021,Boston Bruins,5,Washington Capitals,3,,,02:27,
2/2/2021,Dallas Stars,6,Columbus Blue Jackets,3,,,02:21,
2/2/2021,Carolina Hurricanes,4,Chicago Blackhawks,3,SO,,02:34,
2/2/2021,Minnesota Wild,1,Colorado Avalanche,2,,,02:29,
2/2/2021,Ottawa Senators,2,Edmonton Oilers,4,,,02:26,
2/2/2021,Anaheim Ducks,3,Los Angeles Kings,1,,,02:19,
2/2/2021,Vancouver Canucks,3,Montreal Canadiens,5,,,02:28,
2/2/2021,Arizona Coyotes,3,St. Louis Blues,4,,,02:30,
2/2/2021,Calgary Flames,2,Winnipeg Jets,3,,,02:17,
3/2/2021,Boston Bruins,4,Philadelphia Flyers,3,OT,,02:27,
3/2/2021,Detroit Red Wings,1,Tampa Bay Lightning,5,,,02:18,
4/2/2021,Dallas Stars,3,Columbus Blue Jackets,4,,,02:24,
4/2/2021,Carolina Hurricanes,4,Chicago Blackhawks,6,,,02:32,
4/2/2021,Nashville Predators,6,Florida Panthers,5,OT,3698.0,02:39,
4/2/2021,Ottawa Senators,3,Montreal Canadiens,2,,,02:26,
4/2/2021,Washington Capitals,2,New York Rangers,4,,,02:27,
4/2/2021,Arizona Coyotes,4,St. Louis Blues,3,,,02:22,
4/2/2021,Vancouver Canucks,3,Toronto Maple Leafs,7,,,02:25,
4/2/2021,Calgary Flames,1,Winnipeg Jets,4,,,02:17,
5/2/2021,San Jose Sharks,5,Anaheim Ducks,4,SO,,02:41,
5/2/2021,Nashville Predators,1,Florida Panthers,2,,,02:33,
5/2/2021,Boston Bruins,2,Philadelphia Flyers,1,,,02:30,
5/2/2021,Detroit Red Wings,1,Tampa Bay Lightning,3,,,02:21,
5/2/2021,Los Angeles Kings,2,Vegas Golden Knights,5,,,02:31,
6/2/2021,San Jose Sharks,1,Anaheim Ducks,2,SO,,02:36,
6/2/2021,Edmonton Oilers,4,Calgary Flames,6,,,02:33,
6/2/2021,Pittsburgh Penguins,3,New York Islanders,4,,,02:15,at Nassau Veterans Memorial Coliseum (Uniondale NY)
6/2/2021,Montreal Canadiens,2,Ottawa Senators,1,,,02:28,
6/2/2021,Arizona Coyotes,3,St. Louis Blues,1,,,02:21,
6/2/2021,Vancouver Canucks,1,Toronto Maple Leafs,5,,,02:25,
7/2/2021,Carolina Hurricanes,6,Columbus Blue Jackets,5,,,02:33,
7/2/2021,Chicago Blackhawks,2,Dallas Stars,1,OT,4203.0,02:29,
7/2/2021,Detroit Red Wings,4,Florida Panthers,1,,3706.0,02:26,
7/2/2021,Los Angeles Kings,3,Vegas Golden Knights,4,,,02:21,
7/2/2021,Philadelphia Flyers,7,Washington Capitals,4,,,02:18,
8/2/2021,Carolina Hurricanes,2,Columbus Blue Jackets,3,,,02:29,
8/2/2021,Tampa Bay Lightning,4,Nashville Predators,1,,,02:28,
8/2/2021,New York Islanders,2,New York Rangers,0,,,02:16,
8/2/2021,Edmonton Oilers,3,Ottawa Senators,1,,,02:25,
8/2/2021,Arizona Coyotes,4,St. Louis Blues,3,SO,,02:42,
8/2/2021,Vancouver Canucks,1,Toronto Maple Leafs,3,,,02:18,
9/2/2021,Winnipeg Jets,2,Calgary Flames,3,,,02:22,
9/2/2021,Chicago Blackhawks,2,Dallas Stars,1,OT,4059.0,02:22,
