Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date,original_month,original_day,home_team,visitor_team,game_month,game_day,original_month_number,game_month_number,original_date,source,reschedule,day_difference
13/1/2021,St. Louis Blues,4,Colorado Avalanche,1,,,02:24,,2021-01-13,,,,,,,,,,,0.0,
13/1/2021,Vancouver Canucks,5,Edmonton Oilers,3,,,02:24,,2021-01-13,,,,,,,,,,,0.0,
13/1/2021,Pittsburgh Penguins,3,Philadelphia Flyers,6,,,02:21,,2021-01-13,,,,,,,,,,,0.0,
13/1/2021,Chicago Blackhawks,1,Tampa Bay Lightning,5,,,02:26,,2021-01-13,,,,,,,,,,,0.0,
13/1/2021,Montreal Canadiens,4,Toronto Maple Leafs,5,OT,,02:38,,2021-01-13,,,,,,,,,,,0.0,
22/2/2021,Dallas Stars,1,Florida Panthers,3,,3510.0,02:23,,2021-01-14,Jan.,14.0,Panthers,Stars,Feb.,22.0,1.0,2.0,2021-01-14,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,39.0
14/1/2021,Calgary Flames,3,Winnipeg Jets,4,OT,,02:26,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,Anaheim Ducks,2,Vegas Golden Knights,5,,,02:24,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,New York Islanders,4,New York Rangers,0,,,02:30,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,Columbus Blue Jackets,1,Nashville Predators,3,,,02:29,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,Vancouver Canucks,2,Edmonton Oilers,5,,,02:30,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,Minnesota Wild,4,Los Angeles Kings,3,OT,,02:37,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,Carolina Hurricanes,3,Detroit Red Wings,0,,,02:25,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,Washington Capitals,6,Buffalo Sabres,4,,,02:23,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,San Jose Sharks,4,Arizona Coyotes,3,SO,2274.0,02:37,,2021-01-14,,,,,,,,,,,0.0,
14/1/2021,Boston Bruins,3,New Jersey Devils,2,SO,,02:43,,2021-01-14,,,,,,,,,,,0.0,
3/5/2021,Dallas Stars,4,Florida Panthers,5,OT,4702.0,02:35,,2021-01-15,Jan.,15.0,Panthers,Stars,May,3.0,1.0,5.0,2021-01-15,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,108.0
15/1/2021,Chicago Blackhawks,2,Tampa Bay Lightning,5,,,02:23,,2021-01-15,,,,,,,,,,,0.0,
15/1/2021,Pittsburgh Penguins,2,Philadelphia Flyers,5,,,02:23,,2021-01-15,,,,,,,,,,,0.0,
15/1/2021,Toronto Maple Leafs,3,Ottawa Senators,5,,,02:28,,2021-01-15,,,,,,,,,,,0.0,
15/1/2021,Washington Capitals,2,Buffalo Sabres,1,,,02:17,,2021-01-15,,,,,,,,,,,0.0,
15/1/2021,St. Louis Blues,0,Colorado Avalanche,8,,,02:31,,2021-01-15,,,,,,,,,,,0.0,
