Equipo,Cleveland Cavaliers,Portland Trail Blazers,Golden State Warriors,Indiana Pacers,Orlando Magic,Toronto Raptors,Boston Celtics,Milwaukee Bucks,New Orleans Pelicans,Memphis Grizzlies,Philadelphia 76ers,Phoenix Suns,Los Angeles Lakers,Atlanta Hawks,Chicago Bulls,Sacramento Kings,Brooklyn Nets,Detroit Pistons,Oklahoma City Thunder,Miami Heat,Dallas Mavericks,Utah Jazz,Charlotte Hornets,New York Knicks,San Antonio Spurs,Denver Nuggets,Los Angeles Clippers,Houston Rockets,Minnesota Timberwolves,Washington Wizards
Cleveland Cavaliers,0.0,3307.162502305445,3486.0437797088753,424.00741185883913,1437.7913061498846,304.6465898776284,886.0337616135771,541.7364458540013,1487.5322383706848,1015.38103536899,578.1142475543846,2815.065856685368,3300.538514065118,891.4840026706922,500.04465607189405,3383.0549009726847,654.1240324029252,147.1236881966056,1531.6003169723435,1748.5884730633386,1650.9648074646177,2524.7343432926327,700.1012997838322,651.2755764240418,2019.279485509483,1976.5796192415166,3300.538514065118,1793.5032472929638,1016.4489805521847,491.0009802293033
Portland Trail Blazers,3307.162502305445,0.0,862.6719959604053,3034.3760113347,4069.377747090386,3402.1020565737117,4085.7649657322563,2765.5735005641804,3318.6307296928608,2976.412740046429,3882.385288249298,1619.0609292751226,1329.615002919562,3495.2911196604723,2826.68558052223,778.2055837035272,3938.5415850284157,3167.7321345464115,2393.3213775763215,4357.146179280288,2627.0005771598017,1022.9108038020098,3684.8888633297556,3934.017397000691,2771.017149621671,1580.0892709857449,1329.615002919562,2954.924476443587,2294.9907622372107,3787.647876848356
Golden State Warriors,3486.0437797088753,862.6719959604053,0.0,3135.283693236039,3926.154935279892,3650.7637316298565,4341.623310644889,2962.3159621351756,3095.4734266832543,2899.027831467267,4058.2107173330664,1049.7477047356479,555.9489608721925,3440.6352180205663,2985.9992158694413,119.08641700453106,4139.986957990809,3363.8090262758683,2233.0257036821718,4172.6280563006085,2383.6197161342875,963.9173212736255,3702.678119155762,4136.949667577705,2398.9416712449,1524.106555795979,555.9489608721925,2645.571001815703,2547.5875929250424,3927.058306441803
Indiana Pacers,424.00741185883913,3034.3760113347,3135.283693236039,0.0,1320.0058969426543,709.3786366827792,1299.2353982304494,393.03415650520355,1146.1113406252875,618.1922509576094,939.5988791546813,2412.43284926649,2914.749300503175,684.7808013533125,267.7004141351562,3037.241226056133,1040.8807654838365,387.03088878557327,1109.5914146391606,1647.3372492720434,1229.5099073522713,2184.3982683411073,688.7775007633371,1039.5838412713426,1604.5037513398229,1612.558910658381,2914.749300503175,1392.683544306018,823.7687736661712,793.0820603185338
Orlando Magic,1437.7913061498846,4069.377747090386,3926.154935279892,1320.0058969426543,0.0,1685.5503700516942,1794.4287680582509,1713.0240875047473,859.5019867172217,1098.39232956614,1383.6154716074684,2969.7713134063665,3544.7906062995157,645.8318443734363,1585.921176356087,3854.218598051808,1507.333545261514,1538.7076798334426,1703.6367269266705,327.7742041859006,1549.7651098456122,3086.7729308851194,743.1454707822869,1513.1933854918714,1663.3746906077138,2497.1006127289734,3544.7906062995157,1365.881272771846,2105.6921807897784,1217.6471077133217
Toronto Raptors,304.6465898776284,3402.1020565737117,3650.7637316298565,709.3786366827792,1685.5503700516942,0.0,692.4770465347943,695.2051374320836,1791.3930213444396,1315.730684815703,542.6754971554082,3042.0596424814803,3504.0468652200143,1180.4537481158675,706.3148709430667,3543.471905597098,554.3989549692764,332.8420732738622,1798.2339931891981,1982.9494965762237,1937.8416164271869,2686.942081713753,943.0081154650047,548.5481940109207,2313.4998269096195,2167.669449708956,3504.0468652200143,2094.1462696536573,1117.2615820248368,562.7581178125547
Boston Celtics,886.0337616135771,4085.7649657322563,4341.623310644889,1299.2353982304494,1794.4287680582509,692.4770465347943,0.0,1380.6730552410443,2188.100230868887,1829.7444108269224,440.21199125165174,3700.9421913073593,4180.69012831879,1507.576242866377,1372.5271122986815,4234.933357931554,306.7025360375204,987.2926309549188,2407.230492917579,2020.3482571816949,2497.3473937874774,3377.706097517929,1160.3732628470232,303.29010028009264,2839.3484551940787,2849.2324812423094,4180.69012831879,2584.0476329598523,1808.9369075069126,634.1209466831159
Milwaukee Bucks,541.7364458540013,2765.5735005641804,2962.3159621351756,393.03415650520355,1713.0240875047473,695.2051374320836,1380.6730552410443,0.0,1465.9346056361067,896.8909281679993,1118.8120940783829,2355.799472589712,2809.257224701229,1075.589693862591,130.87476773939767,2856.794786140083,1185.4311078055196,405.9883556280071,1179.4533877000995,2040.3710894232238,1379.3229634866789,1998.6370392671831,1061.2771569611014,1181.7251870390503,1779.2917486710758,1472.4666135088567,2809.257224701229,1617.6677783431592,480.330145221849,1025.1824456322297
New Orleans Pelicans,1487.5322383706848,3318.6307296928608,3095.4734266832543,1146.1113406252875,859.5019867172217,1791.3930213444396,2188.100230868887,1465.9346056361067,0.0,575.4310063513877,1749.3271306498862,2116.183409113906,2692.998916016321,683.6877690193601,1341.4162842943194,3030.4444123913913,1882.1542867223468,1512.012637500966,926.6973836773875,1077.6342007316327,713.0663296516487,2307.4616187751762,1045.6923446572318,1885.1292322874835,810.7035672460753,1740.9116145704033,2692.998916016321,510.77840741245745,1691.5649572504174,1554.85972233063
Memphis Grizzlies,1015.38103536899,2976.412740046429,2899.027831467267,618.1922509576094,1098.39232956614,1315.730684815703,1829.7444108269224,896.8909281679993,575.4310063513877,0.0,1415.3208784711558,2031.7759626275215,2582.632436392281,541.6294872508872,776.5331848353286,2816.444684710041,1538.7562269992952,1003.810037247258,679.7022638504066,1403.0605672915606,676.7043775504901,2012.4598913680543,838.7965777629868,1539.6930929641865,1011.8470352582139,1416.8086678718,2582.632436392281,778.4283729824717,1126.5949783012252,1230.9333313454954
