team
Golden State Warriors
Los Angeles Clippers
Charlotte Hornets
New York Knicks
Miami Heat
Washington Wizards
New Orleans Pelicans
Milwaukee Bucks
Atlanta Hawks
San Antonio Spurs
Detroit Pistons
Sacramento Kings
Utah Jazz
Dallas Mavericks
Brooklyn Nets
Oklahoma City Thunder
Cleveland Cavaliers
Orlando Magic
Philadelphia 76ers
Indiana Pacers
Toronto Raptors
Minnesota Timberwolves
Houston Rockets
Phoenix Suns
Boston Celtics
Memphis Grizzlies
Portland Trail Blazers
Chicago Bulls
Denver Nuggets
Los Angeles Lakers
