Team;Arena;Google_address;Capacity
Cleveland Cavaliers;Rocket Mortgage FieldHouse;Rocket Mortgage FieldHouse, 1, Huron Road East, East 4th Street, Playhouse Square, Cleveland, Cuyahoga County, Ohio, 44115, United States;19432
Portland Trail Blazers;Moda Center;1 N Center Ct St, Portland, OR 97227, United States;19393
Golden State Warriors;Chase Center;1 Warriors Way, San Francisco, CA 94158, United States;18064
Indiana Pacers;Bankers Life Fieldhouse;125 S Pennsylvania St, Indianapolis, IN 46204, United States;17923
Orlando Magic;Amway Center;Amway Center, Hughey Avenue, Orlando, Orange County, Florida, 32801, United States;18846
Toronto Raptors;Scotiabank Arena;40 Bay St, Toronto, Canada;19800
Boston Celtics;TD Garden;100 Legends Wy, Boston, MA 02114, United States;18624
Milwaukee Bucks;Fiserv Forum;1111 Vel R. Phillips Ave, Milwaukee, WI 53203, United States;17341
New Orleans Pelicans;Smoothie King Center;1501 Dave Dixon Dr, New Orleans, LA 70113, United States;16867
Memphis Grizzlies;FedExForum;191 Beale St, Memphis, TN 38103, United States;18119
Philadelphia 76ers;Wells Fargo Center;3601 S Broad St, Philadelphia, PA 19148, United States;20478
Phoenix Suns;Footprint Center;201 E Jefferson St, Phoenix, AZ 85004, United States;18422
Los Angeles Lakers;Staples Center;1111 S Figueroa St, Los Angeles, CA 90015, United States;19060
Atlanta Hawks;State Farm Arena;1 State Farm Dr, Atlanta, GA 30303, United States;16600
Chicago Bulls;United Center;1901 W Madison St, Chicago, IL 60612, United States;20917
Sacramento Kings;Golden 1 Center;Golden 1 Center, 500, 6th Street, Sacramento, Sacramento County, California, 95814, United States;17608
Brooklyn Nets;Barclays Center;620 Atlantic Ave, Brooklyn, NY 11217, United States;17732
Detroit Pistons;Little Caesars Arena;2645 Woodward Ave, Detroit, MI 48201, United States;20332
Oklahoma City Thunder;Paycom Center;100 W Reno Ave, Oklahoma City, OK 73102, United States;18203
Miami Heat;FTX Arena;601 Biscayne Blvd, Miami, FL 33132, United States;19600
Dallas Mavericks;American Airlines Center;2500 Victory Park Lane, Dallas, TX 75219, United States;19200
Utah Jazz;Vivint Arena;301 S Temple, Salt Lake City, UT 84101, United States;18306
Charlotte Hornets;Spectrum Center;333 E Trade St, Charlotte, NC 28202, United States;19077
New York Knicks;Madison Square Garden;4 Pennsylvania Plaza, New York, NY 10001, United States;19812
San Antonio Spurs;AT&T Center;1 AT&T Center Parkway, San Antonio, TX 78219, United States;18418
Denver Nuggets;Ball Arena;1000 Chopper Cir, Denver, CO 80204, United States;19520
Los Angeles Clippers;Staples Center;1111 S Figueroa St, Los Angeles, CA 90015, United States;19060
Houston Rockets;Toyota Center;1510 Polk St, Houston, TX 77002, United States;18055
Minnesota Timberwolves;Target Center;Target Center, Minneapolis Skyway, Minneapolis, Hennepin County, Minnesota, 55401, United States;18798
Washington Wizards;Capital One Arena;601 F St NW, Washington, DC 20004, United States;20356
