Equipo,Tampa Bay Lightning,Dallas Stars,Colorado Avalanche,Montreal Canadiens,Nashville Predators,Winnipeg Jets,Ottawa Senators,Washington Capitals,Seattle Kraken,Los Angeles Kings,St. Louis Blues,Florida Panthers,Arizona Coyotes,Anaheim Ducks,Buffalo Sabres,Detroit Red Wings,New York Rangers,Columbus Blue Jackets,Carolina Hurricanes,Pittsburgh Penguins,New Jersey Devils,Vancouver Canucks,Edmonton Oilers,San Jose Sharks,Toronto Maple Leafs,Calgary Flames,Boston Bruins,Vegas Golden Knights,New York Islanders,Chicago Blackhawks,Philadelphia Flyers,Minnesota Wild
Tampa Bay Lightning,0.0,1479.5571251140736,2453.3171218953084,2100.16374259907,998.1949926603855,2738.378516089608,2010.5915807447234,1315.2104241829793,4073.1513181068913,3468.7429681618537,1386.2764062572874,289.1189242142582,2910.4949587448637,3432.060070822049,1687.832913469008,1598.3472761266578,1617.9693926973066,1334.9900931897864,940.1501484572258,1404.5359175093226,1608.638367825578,4184.845348694435,3809.6508164850134,3815.179450820281,1763.7650424598012,3685.157686740653,1903.2476934144279,3204.2375323609103,1626.1687567170384,1617.3909926521205,1486.120789940228,2110.115727408047
Dallas Stars,1479.5571251140736,0.0,1066.124450935394,2440.235963537876,993.8302269665688,1899.5833804715014,2267.851685213195,1907.002863091394,2706.4919100089583,1996.9005536884472,880.887291975421,1756.9663219124848,1442.320672512136,1961.8655586347431,1928.5888341894663,1608.7932693814791,2211.814265293087,1469.9947838078745,1695.8395541184113,1723.3799247140566,2196.891795115265,2845.147504292167,2660.5911119154007,2336.185537684649,1937.6738369130205,2467.234170539033,2497.2403097163947,1724.682082313758,2232.352830353381,1291.90622615916,2089.7358022902413,1386.7405270329823
Colorado Avalanche,2453.3171218953084,1066.124450935394,0.0,2638.641604380232,1647.7018505789574,1285.7956169645304,2453.0403986900583,2405.327778517776,1643.9838376056673,1338.7900088054334,1283.6678626287412,2741.6113000307946,946.2727044000671,1322.589647786037,2206.3698124915995,1862.6745932959454,2627.3251414310657,1878.0170551139283,2347.9264674663987,2127.6902269686316,2612.7229893669446,1779.217654842243,1663.062819235467,1494.7116534424015,2167.669449708956,1438.2244890581228,2849.2324812423094,980.7341803043605,2650.311560214784,1478.8298800651287,2542.3084831599454,1136.5673653129265
Montreal Canadiens,2100.16374259907,2440.235963537876,2638.641604380232,0.0,1518.3551507850289,1827.3257835638458,185.91993471871962,786.1689219324736,3686.0755727181217,3977.4193203925897,1569.6510911555765,2228.772165750921,3541.0326503186457,3960.919193843471,514.4953156023215,837.9429049620061,528.33662363576,985.8633354661712,1160.578167246059,767.5409711729732,531.3556997295059,3696.4041451138455,2981.93728320367,4076.980990816921,505.1752199326523,3027.69604966638,401.77206443264737,3618.231136498432,531.6743270913718,1204.103138696082,635.2143568189684,1531.5453334924694
Nashville Predators,998.1949926603855,993.8302269665688,1647.7018505789574,1518.3551507850289,0.0,1740.1873099150164,1365.0295078384077,913.9106673526388,3179.9405932780487,2868.044014399733,408.55178825319456,1267.2271557251818,2341.997490031823,2839.303057929851,1007.8784489771489,757.6381320321772,1225.2335590606194,536.9581647686305,727.433990756865,760.1367359923003,1210.5315496587696,3271.573878615558,2831.5410157538927,3121.308799363132,1043.5478823994479,2727.0183173106957,1518.1105271334088,2547.1690756272155,1244.9820865888098,639.9090794246265,1099.3131342669192,1112.0824839356842
Winnipeg Jets,2738.378516089608,1899.5833804715014,1285.7956169645304,1827.3257835638458,1740.1873099150164,0.0,1668.8474038505433,2004.792268157438,1861.722198328736,2466.1937621281327,1367.5784827152304,3004.3065613907247,2200.956050219198,2464.7483557988044,1601.147610798306,1371.2017784041482,2067.743037200189,1564.0020803180614,2160.3438267211222,1702.6317673482647,2056.9534026561028,1869.3857232741789,1197.794389934715,2419.1078188446504,1519.2166355052261,1204.5609270964933,2168.2203513591744,2112.677364317858,2088.368344896027,1152.8061625820703,2048.3986521472552,628.7894233176439
Ottawa Senators,2010.5915807447234,2267.851685213195,2453.0403986900583,185.91993471871962,1365.0295078384077,1668.8474038505433,0.0,716.4585959226476,3522.277891979931,3791.830128952785,1393.1182842286203,2159.643406925438,3355.2711766518973,3775.216071704321,358.02769779102397,660.4963467086401,529.0399430662333,828.4811249042834,1080.2776168049525,633.3358657945306,526.7413679993504,3537.7997011655443,2837.5985060267017,3894.408540063191,330.4263360835486,2872.515357124213,508.88054177278207,3432.8235223002853,540.0123377920495,1020.5775435270027,602.5779808726279,1349.2901117536405
Washington Capitals,1315.2104241829793,1907.002863091394,2405.327778517776,786.1689219324736,913.9106673526388,2004.792268157438,716.4585959226476,0.0,3748.697757677105,3704.007093295332,1145.0903380913662,1446.218508205289,3203.671296954558,3679.4493339298238,468.48443659920207,637.5845352199252,330.8319806565521,528.7183866224657,375.06091583301486,306.8437859293708,317.87821812811654,3801.1112506990407,3200.9264943299363,3899.559493930335,562.7581178125547,3174.360996558027,634.1209466831159,3363.7398775415886,346.6067582596796,962.4364296374451,194.31730860854043,1489.774057755215
Seattle Kraken,4073.1513181068913,2706.4919100089583,1643.9838376056673,3686.0755727181217,3179.9405932780487,1861.722198328736,3522.277891979931,3748.697757677105,0.0,1546.2647918361447,2776.3050501950206,4362.247323484943,1779.2517503236115,1579.2855196739465,3407.9455416913825,3119.8712514112685,3876.005407293018,3240.8864290481915,3802.758830243067,3443.029155130643,3863.6376860012215,192.42585504234435,908.5278844151544,1143.5456203868025,3336.4489825737055,712.4167928307612,4011.6909700332403,1409.8489293811579,3897.996384999602,2794.3162663468847,3832.7223241634592,2260.295332855837
Los Angeles Kings,3468.7429681618537,1996.9005536884472,1338.7900088054334,3977.4193203925897,2868.044014399733,2466.1937621281327,3791.830128952785,3704.007093295332,1546.2647918361447,0.0,2559.941740110506,3737.555036744699,559.0217217635823,44.546036159475804,3539.6785282300066,3193.618638938818,3947.585442726581,3184.854920102046,3594.096024836128,3441.727677775538,3932.7392594370813,1738.5484270732088,2199.538157749753,491.2836865849214,3504.1969521037317,1918.4877599837043,4180.841061859775,362.70468633508574,3970.429216646863,2808.315958011941,3854.1614345387256,2465.2582540086264
