team
St. Louis Blues
Vancouver Canucks
Pittsburgh Penguins
Chicago Blackhawks
Montreal Canadiens
San Jose Sharks
Washington Capitals
Carolina Hurricanes
Minnesota Wild
Boston Bruins
Columbus Blue Jackets
New York Islanders
Anaheim Ducks
Calgary Flames
Toronto Maple Leafs
Buffalo Sabres
Winnipeg Jets
Arizona Coyotes
Colorado Avalanche
New Jersey Devils
Edmonton Oilers
Philadelphia Flyers
Tampa Bay Lightning
Vegas Golden Knights
Detroit Red Wings
Nashville Predators
New York Rangers
Los Angeles Kings
Ottawa Senators
Florida Panthers
Dallas Stars
