original_month,original_day,home_team,visitor_team,game_month,game_day,original_month_number,game_month_number,original_date,game_date,home,visitor,source
Jan.,14,Panthers,Stars,Feb.,22,1,2,2021-01-14,2021-02-22,Florida Panthers,Dallas Stars,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Jan.,15,Panthers,Stars,May,3,1,5,2021-01-15,2021-05-03,Florida Panthers,Dallas Stars,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Jan.,17,Lightning,Stars,May,4,1,5,2021-01-17,2021-05-04,Tampa Bay Lightning,Dallas Stars,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Jan.,19,Lightning,Stars,May,10,1,5,2021-01-19,2021-05-10,Tampa Bay Lightning,Dallas Stars,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Jan.,19,Predators,Hurricanes,March,2,1,3,2021-01-19,2021-03-02,Nashville Predators,Carolina Hurricanes,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Jan.,21,Hurricanes,Panthers,Feb.,17,1,2,2021-01-21,2021-02-17,Carolina Hurricanes,Florida Panthers,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Jan.,23,Hurricanes,Panthers,March,7,1,3,2021-01-23,2021-03-07,Carolina Hurricanes,Florida Panthers,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Jan.,26,Hurricanes,Lightning,Feb.,22,1,2,2021-01-26,2021-02-22,Carolina Hurricanes,Tampa Bay Lightning,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Jan.,28,Golden Knights,Blues,March,22,1,3,2021-01-28,2021-03-22,Vegas Golden Knights,St. Louis Blues,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Feb.,1,Sharks,Golden Knights,Feb.,13,2,2,2021-02-01,2021-02-13,San Jose Sharks,Vegas Golden Knights,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Feb.,2,Penguins,Devils,March,21,2,3,2021-02-02,2021-03-21,Pittsburgh Penguins,New Jersey Devils,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Feb.,2,Islanders,Sabres,Feb.,22,2,2,2021-02-02,2021-02-22,New York Islanders,Buffalo Sabres,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Feb.,3,Sharks,Golden Knights,Feb.,25,2,2,2021-02-03,2021-02-25,San Jose Sharks,Vegas Golden Knights,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
Feb.,4,Penguins,Devils,April,20,2,4,2021-02-04,2021-04-20,Pittsburgh Penguins,New Jersey Devils,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/
